product_id,brand,category_lv1,category_lv2,price_band,price_min,price_max,launch_date,core_claims
520836552470,舒客,口腔护理,牙膏,23.0-75.0,23.0,75.0,2019-09-27 17:14:42,去异味|清洁牙齿|美白|防蛀去牙渍|清新口气含氟
529201426325,微希,护肤,面部护理,129.0-258.0,129.0,258.0,2019-10-21 03:19:23,保湿|修护|滋润|舒缓|补水修护角质层|水润隐形面膜
529399019157,薇诺娜,护肤,护肤套装,195.0-351.0,195.0,351.0,2019-06-27 20:38:57,保湿|修护|滋润|舒缓|补水|锁水干性皮肤|敏感肌|水乳
531567354498,妮维雅,护肤,面部清洁,41.0,41.0,41.0,2021-10-08 19:35:50,保湿|清洁|补水深层清洁
533073621218,肌肤之钥,彩妆,面部底妆,553.0-1107.0,553.0,1107.0,2019-06-27 20:53:13,保湿|打底|防晒|隔离新年限定
537219932625,毛戈平,护肤,面部护理,429.0-2394.0,429.0,2394.0,2019-09-27 17:36:45,保湿|修护|抗衰|舒缓抗皱|紧致新年限定|涂抹式
543835400795,兰蔻,护肤,护肤套装,612.0-1153.0,612.0,1153.0,2021-05-07 14:11:55,保湿|修护|补水兰蔻小黑瓶|小黑瓶|新年限定
547142706008,洛黛诗,洗护,洗发护发,28.0-43.0,28.0,43.0,2019-06-27 21:42:57,修护|柔顺|留香抚平毛躁受损修护|头发洗护|精油洗护|香氛
552982987824,云南白药,口腔护理,牙膏,50.0-143.0,50.0,143.0,2019-10-21 03:18:08,去异味|清洁|清火|牙周护理|牙龈护理|美白健龈|清新口气家庭装
554415401017,MIJIA,美容仪器,口腔美容仪,316.0-674.0,316.0,674.0,2021-05-29 11:44:08,学生
557062725034,云南白药,口腔护理,牙膏,54.0-99.0,54.0,99.0,2019-09-27 18:05:50,去异味|抗敏|清洁|牙龈护理|美白健龈|抗敏感|清新口气|美白牙齿
561881298014,卡奇色彩,彩妆,眼部彩妆,10.0,10.0,10.0,2019-08-07 12:54:31,持妆|显色|立体|防晕染|防水卡其色|双头|双头眉笔|新手|极细|棕色|野生眉
567148464360,三橡树,洗护,美发造型,110.0,110.0,110.0,2019-06-28 09:55:33,染发|补色在家染发|天然|无刺激|植物
573796077758,李施德林,口腔护理,漱口水,52.0-187.0,52.0,187.0,2019-09-27 18:47:00,去异味|防蛀清新口气口腔香氛|含氟|温和
575199792141,橘朵,彩妆,面部修饰,30.0-35.0,30.0,35.0,2019-06-28 10:05:42,保湿|修容单色|膨胀色
582320504739,圣罗兰,彩妆,唇部彩妆,422.0-463.0,422.0,463.0,2019-08-23 17:57:33,保湿哑光|小金条|细管|裸色
584816954855,3CE,彩妆,面部修饰,109.0-153.0,109.0,153.0,2019-06-28 10:15:32,修容单色|多用|多用膏|膨胀色
586027108988,橘朵,彩妆,眼部彩妆,31.0,31.0,31.0,2019-06-28 10:16:37,轮廓修饰|防水新手|柔焦|砍刀眉笔|雾感
590498746069,谷雨,护肤,护肤套装,182.0-264.0,182.0,264.0,2019-06-28 10:28:22,保湿|舒缓|补水学生|干性皮肤|水乳
590847970533,花洛莉亚,彩妆,眼部彩妆,9.0,9.0,9.0,2019-08-07 14:02:49,持妆|显色|立体|锁色|防晕染|防水双头|双头眉笔|旋转眉笔|极细|棕色
593070933979,花洛莉亚,彩妆,眼部彩妆,9.0-1019.0,9.0,1019.0,2019-06-28 10:35:06,持妆|显色|立体|锁色|防晕染|防水双头|双头眉笔|旋转眉笔|极细|棕色|自动眉笔
593221220586,悠宜,彩妆,面部底妆,50.0-60.0,50.0,60.0,2019-06-28 10:35:32,保湿|持妆|提亮肤色|遮瑕无瑕|自然色|养肤
594272805322,珀兰娜,彩妆,面部底妆,93.0-198.0,93.0,198.0,2019-09-27 20:45:06,打底|控油|隔离哑光|贴贴霜
596277900325,珂润,护肤,面部清洁,111.0-213.0,111.0,213.0,2019-10-21 03:21:31,保湿|清洁|清爽|舒缓深层清洁敏感肌|温和
597865016633,悠宜,彩妆,面部底妆,90.0-110.0,90.0,110.0,2019-09-29 18:53:41,持妆|控油|遮瑕
600035028930,酵色,彩妆,唇部彩妆,81.0,81.0,81.0,2019-09-29 14:18:22,哑光|镜面
601462995229,芙丽芳丝,护肤,面部清洁,41.0,41.0,41.0,2020-11-12 13:17:28,清洁深层清洁小样
606330027354,柳丝木,彩妆,面部底妆,71.0-112.0,71.0,112.0,2020-01-10 17:47:39,变色|打底|提亮肤色|遮瑕|隔离变色|敏感肌|敏肌彩妆
611937377756,威露士,洗涤,衣物清洁护理,100.0,100.0,100.0,2023-05-29 14:47:46,去异味|杀菌|消毒
612662980474,花洛莉亚,彩妆,眼部彩妆,9.0,9.0,9.0,2020-05-08 14:20:54,持妆|显色|立体|防水双头|双头眉笔|旋转眉笔|极细|棕色|水眉笔|野生眉
613592958661,潘婷,洗护,洗发护发,42.0-126.0,42.0,126.0,2020-04-16 11:33:36,修护|控油|柔顺|滋润|蓬松丝滑|去油|抚平毛躁头发洗护
615109113637,野兽派,香氛,家居香氛,8.0-203.0,8.0,203.0,2021-09-04 11:19:13,熏香卧室|新年限定
617755840347,佳洁士,口腔护理,牙膏,5.0-102.0,5.0,102.0,2023-05-29 14:28:36,去异味|清洁清新口气含盐|多合一|多效|天然|草本
